customer_id;nome_cli;email;telefone;idade
1;Mr. Kyle Rodriguez;novakbailey@example.net;278-892-8624;24
2;Roberto Davenport;jennifer01@example.net;+1-515-660-7626x382;52
3;Matthew Maldonado;bflores@example.org;+1-579-448-3274x203;50
4;Jeffrey Hurley;kenneththompson@example.net;425-431-3154x7005;30
5;Crystal Burgess;christy77@example.com;6.419.018.621;34
6;Elizabeth Gentry;lharding@example.com;501.357.3863x6949;31
7;Julia Wilcox;patricktaylor@example.com;7539871782;24
8;Kevin Williams;chudson@example.net;(682)547-9998x4645;26
9;Lawrence Nolan;cgarcia@example.net;(931)596-2966x0261;58
10;Joshua Ramirez;contrerasamanda@example.net;(308)252-3922x9768;23
11;Mrs. Karen Scott;jessica93@example.org;001-309-736-5827x9646;51
12;Marcus Lane;mossmichelle@example.com;266.926.2486x49209;47
13;Bobby Barber;mitchellcheryl@example.net;001-499-909-8399x31871;34
14;Robert Murray;cindy11@example.net;(660)878-1087;67
15;Sonya Townsend;lori56@example.net;001-639-562-7140x74179;50
16;Jonathan Hunter;enewman@example.org;971-483-0747;37
17;Trevor Ewing;isabella05@example.com;+1-772-817-3145x709;45
18;Briana Bennett;phamchristopher@example.net;001-887-341-7199;67
19;Mandy Mcneil;ryan23@example.com;+1-842-656-7896x842;68
20;Edward Haney;andrew98@example.org;(521)705-6505x195;32
21;Mark Blair;nicholaswilkins@example.com;5.822.506.691;70
22;Emily Wilson;gonzalezjohn@example.org;001-336-379-4143x011;31
23;Michael Rogers;brittanyparsons@example.com;(535)970-2393x792;68
24;Zachary Bailey;boyertara@example.net;398.738.9166x6392;43
25;Alexander Smith;nicole12@example.org;701.830.2740x97791;37
26;Christina Graham;andrewgonzalez@example.net;494-254-7985;50
27;Christina Ramirez;phill@example.org;2.886.598.763;32
28;Ryan Thomas;william67@example.net;777-586-9222x669;42
29;Tammy Jones;nhendricks@example.com;+1-230-509-5495x440;59
30;Jill Knapp;marcchristensen@example.org;451.419.2469x005;68
31;Colleen Harper;shaunbest@example.org;+1-654-356-6892x89651;44
32;Paula Holland;ujackson@example.net;367-217-8926x50834;50
33;Charles Graham;charles25@example.net;001-806-870-7478;36
34;Mindy Smith;thomasperkins@example.net;810-630-7149x20096;70
35;Kyle Harmon;zbrown@example.net;(829)417-5442x912;33
36;John Trujillo;april99@example.com;590-645-4627;63
37;Breanna Rose;vnelson@example.net;547-429-8794;65
38;Mr. Richard Shannon;aarongay@example.com;332-581-0854x719;59
39;Hannah Green;swansonallison@example.net;464.979.0807x75287;35
40;Raymond Fernandez;robertsondan@example.com;529.561.5488x5333;39
41;Jonathan Williams;baileykaren@example.org;+1-213-260-0742x02411;50
42;Ashley Griffith;tanyaphelps@example.com;922-756-3985x7807;20
43;Donald Hart;scottkoch@example.net;(881)560-6970x5778;44
44;Amanda Rivera;ilee@example.com;(802)504-0360x5518;51
45;Jason Marshall;smithstephanie@example.org;+1-327-959-9260x1787;34
46;Andrew Turner;christopher04@example.com;270-704-5890;44
47;Mathew Davis;aromero@example.net;577-775-0579x83814;35
48;Danny Cooper;floresmaurice@example.net;+1-699-490-6924x2512;61
49;Gabrielle Chavez;johnsonvalerie@example.net;(256)667-2832;44
50;Charles Chambers;richard12@example.com;6.652.062.731;27
51;Deborah Cook;larry70@example.org;001-590-280-4758x49955;19
52;Daniel Diaz;pbell@example.com;(307)247-2158;47
53;Bradley Hill;heidismith@example.org;241-633-4337;37
54;Adrienne Patel;angelapadilla@example.net;+1-247-361-5401x1957;21
55;Aaron Washington;bandrade@example.org;(643)200-4311;64
56;Christy Barnett;robertkhan@example.net;001-576-459-2774x0478;44
57;Jessica Archer;escobarvirginia@example.org;939.237.9751x766;24
58;David Hall;lawrencebrian@example.com;9149329969;29
59;Kevin Guerrero;johnsonjuan@example.net;264-875-0124x12331;19
60;Trevor Bush;kyle93@example.com;230-721-2092x473;49
61;Melissa Friedman;paige01@example.com;9.926.971.424;22
62;Robert Thomas;erin64@example.net;+1-267-928-1049x976;46
63;Maria Gallegos;johnhoward@example.com;511.888.0866x592;38
64;Edward Mason;stewartrobin@example.org;572-495-7986x46916;61
65;David Bates;epittman@example.com;(514)745-8897x293;31
66;Rebecca Torres;pottercaitlin@example.com;5.867.671.987;21
67;Anthony Hart;tammyrusso@example.net;+1-320-245-6092x6190;50
68;Veronica Bryan;william10@example.org;4.795.409.516;26
69;Courtney Graves;michaellee@example.com;+1-786-632-5042x221;28
70;Michelle Reese;ufarrell@example.com;(449)245-6134;58
71;Bridget Anderson;brianabennett@example.org;001-620-755-2392;55
72;Tracy Robinson;amanda76@example.com;813-958-1581x38006;36
73;Jackie Holt;qmeza@example.org;+1-768-520-5536x3805;22
74;Lisa Foster;kevin67@example.com;977.202.4990x44777;23
75;Michelle Townsend;perkinsdaniel@example.org;(222)816-1401x315;31
76;Brian Hickman;dhall@example.net;001-948-732-6596x61800;42
77;Christopher Marquez;madisonbrown@example.org;(381)508-8459x864;34
78;Ryan Schultz;velezchristopher@example.com;-2617;21
79;James Larsen;robertsapril@example.org;799-350-6044;26
80;Jeremy Jones;teresawhite@example.net;8539236417;31
81;Justin Sanders;gregorybell@example.com;001-837-448-4634x5701;57
82;Chad Porter;todd60@example.net;(873)428-8266;27
83;Billy Holmes;glennwillis@example.com;499-270-0195x973;21
84;Autumn Hansen;walkeralicia@example.com;425.738.5240x386;37
85;Adam Walls;james59@example.com;649.737.9346x0633;34
86;Tina Simon;gjohnson@example.net;372-560-0671x36858;48
87;Chelsea James;yorkrachel@example.com;+1-613-568-2518x7269;36
88;Ashley Hansen;hweaver@example.net;001-708-385-5755x70468;51
89;Bethany Lopez;thomascochran@example.net;001-665-844-3600x6932;54
90;Steven Rodriguez;bbates@example.org;898-220-1415;31
91;Sherri Ortiz;edwardskyle@example.net;(434)720-3051;24
92;Krista Miller;plong@example.com;2383724704;20
93;Sarah Jones;tylerbaker@example.com;616-455-3877x5048;39
94;Benjamin Rosario;jody20@example.com;(876)226-9356x299;35
95;Tamara Jenkins;emmasmith@example.net;001-690-479-7150x8927;46
96;Julie Martin;stonebrian@example.net;+1-453-317-6322x33034;23
97;Samuel Rivera;bmoore@example.net;001-377-471-2585x38009;61
98;Scott Bowman;gsingh@example.com;(797)993-9889x39762;29
99;Jason Nguyen;amywilliams@example.net;+1-354-609-9569x8411;61
100;Steven Rodriguez;hayesvictoria@example.com;6067779349;23
101;Rebecca Floyd;silvadiana@example.com;680-252-8589;44
102;Christy Foster;williamsaaron@example.org;001-248-960-0715x6449;30
103;Alexander Alvarado;craig25@example.org;(308)909-3438x52265;20
104;Daniel Wood;ntaylor@example.net;908-702-8312x66011;40
105;Richard Odonnell;icarney@example.net;(497)403-6244;40
106;Omar Kirk;thomas19@example.org;+1-728-248-5764x6436;55
107;George Collins;elizabethsmith@example.org;+1-812-940-5900x083;28
108;Angela Schmitt;shawvirginia@example.net;+1-683-611-5383x9575;42
109;Charles Mccarthy;melissa40@example.net;+1-859-989-9530x046;35
110;Dorothy Adams;obarrett@example.net;481-476-2805;62
111;Glenn Banks;nicholewhite@example.net;001-582-738-1475;19
112;Matthew Phillips;bowersashley@example.com;298.594.8854x85809;39
113;Kelly Delgado;morgan26@example.net;(542)445-0970;52
114;Randall Ryan;wkennedy@example.com;4594789709;49
115;Amy Johnson;christineortiz@example.com;934.405.2309x7736;22
116;Nathan Gomez;ccaldwell@example.org;927-912-6652;24
117;Michelle Manning;gregoryrodriguez@example.net;5.653.567.868;43
118;Ryan Perez;micheal74@example.net;001-643-647-9394x3422;38
119;Christopher Calhoun;mitchellgibson@example.com;001-698-732-8272x546;58
120;Cynthia Branch;jwatson@example.com;327-559-5265x590;45
121;Tami Gonzalez;mglass@example.org;760.484.4571x3268;41
122;Kyle Campbell;halljames@example.com;(595)493-5181;63
123;Sara Williams;christina78@example.net;+1-799-652-6740x11657;20
124;Casey Jackson;stuart21@example.net;942-266-6316;42
125;Mary Sharp;griffinmichael@example.com;8.226.231.426;40
126;Kristin Reed;ashley00@example.org;+1-779-654-6288x138;57
127;Bryan Cuevas;rhuber@example.net;(799)856-3068x1923;36
128;Spencer Armstrong;maurice70@example.net;001-808-562-2255x838;26
129;Dr. Todd Sanchez;scarlson@example.net;+1-519-268-0551x535;33
130;Melissa Owens;michellehardy@example.net;541-371-5806x01586;68
131;Justin Benton;franklee@example.com;966-752-4551;62
132;Catherine Gomez;michael42@example.com;(283)659-1130x9798;62
133;David Clark;james55@example.com;939.321.3381x67403;44
134;Keith Nguyen;pettyjacqueline@example.org;+1-940-268-6087x71399;41
135;Wayne Simmons;colleenli@example.net;(824)631-4555x527;47
136;Michelle Moses;victoria14@example.org;946.709.4537x367;69
137;James Dickerson;brownjames@example.org;+1-507-472-5111x075;41
138;Lori Robinson;fkelley@example.net;997-399-6609x28480;21
